套装ID,套装名称,稀有度,2件套描述,4件套描述,,,,,,2件套加成,,,,,,,4件套加成,,,,,,,,,,,,,备注
,,,,,攻击力%,生命值%,防御力%,增伤%,暴击率%,暴击伤害%,精通,充能%,反应伤害%,其他,攻击力%,生命值%,防御力%,增伤%,暴击率%,暴击伤害%,精通,充能%,反应伤害%,减抗%,无视防御%,独立乘区%,其他,近似规则

maiden_beloved,被怜爱的少女,4/5,角色造成的治疗效果提升15%。,施放元素战技或元素爆发后的10秒内，队伍中所有角色受治疗效果加成提高20%。,,,,,,,,,,,,,,,,,,,,,,,,,
blizzard_strayer,冰风迷途的勇士,4/5,获得15%冰元素伤害加成。,攻击处于冰元素影响下的敌人时，暴击率提高20%；若敌人处于冻结状态下，则暴击率额外提高20%。,,,,,,,,,,,,,,,,,,,,,,,,,
pale_flame,苍白之火,4/5,造成的物理伤害提高25%。,元素战技命中敌人后，攻击力提升9%。该效果持续7秒，至多叠加2层，每0.3秒至多触发一次。叠满2层时，2件套的效果提升100%。,,,,,,,,,,,,,,,,,,,,,,,,,
heart_of_depth,沉沦之心,4/5,获得15%水元素伤害加成。,施放元素战技后的15秒内，普通攻击与重击造成的伤害提高30%。,,,,,,,,,,,,,,,,,,,,,,,,,
vermillion_hereafter,辰砂往生录,4/5,攻击力提高18%。,施放元素爆发后，将产生持续16秒的「潜光」效果：攻击力提升8%；并在角色的生命值降低时，攻击力进一步提升10%，至多通过这种方式提升4次，每0.8秒至多触发一次。「潜光」效果将在角色退场时消失；持续期间再次施放元素爆发，将移除原有的「潜光」。,,,,,,,,,,,,,,,,,,,,,,,,,
aubade_of_morningstar_and_moon,晨星与月的晓歌,4/5,元素精通提高80点。,装备者处于队伍后台时，造成的月曜反应伤害提升20%；队伍的月兆等级至少为满辉时，造成的月曜反应伤害进一步提升40%。上述效果将在装备者位于场上3秒后移除。,,,,,,,,,,,,,,,,,,,,,,,,,
crimson_witch_of_flames,炽烈的炎之魔女,4/5,获得15%火元素伤害加成。,超载、燃烧、烈绽放反应造成的伤害提升40%，蒸发、融化反应的加成系数提高15%。施放元素战技后的10秒内，2件套的效果提高50%，该效果最多叠加3次。,,,,,,,,,,,,,,,,,,,,,,,,,
viridescent_venerer,翠绿之影,4/5,获得15%风元素伤害加成。,扩散反应造成的伤害提升60%。根据扩散的元素类型，降低受到影响的敌人40%的对应元素抗性，持续10秒。,,,,,,,,,,,,,,,,,,,,,,,,,
lavawalker,渡过烈火的贤人,4/5,火元素抗性提高40%。,对处于火元素影响下的敌人造成的伤害提升35%。,,,,,,,,,,,,,,,,,,,,,,,,,
silken_moon_s_serenade,纺月的夜歌,4/5,元素充能效率提高20%。,造成元素伤害时，获得持续8秒的「月辉明光·崇信」效果：队伍的月兆为初辉/满辉时，队伍中的所有角色的元素精通提高60点/120点。装备者处于后台时也能触发上述效果。队伍中的角色每拥有一种不同的「月辉明光」效果，队伍中的所有角色触发的月曜反应造成的伤害提升10%。由「月辉明光」产生的效果无法叠加。,,,,,,,,,,,,,,,,,,,,,,,,,
a_day_carved_from_rising_winds,风起之日,4/5,攻击力提高18%。,普通攻击、重击、元素战技或元素爆发命中敌人后，将获得持续6秒的「风与牧歌的眷怜」：攻击力提高25%。若装备者已经完成了「魔女的课业」，则「风与牧歌的眷怜」将会升级为「风与牧歌的决意」，额外使通过考验的装备者的暴击率提升20%。装备者处于队伍后台时，也能触发上述效果。,,,,,,,,,,,,,,,,,,,,,,,,,
oceanhued_clam,海染砗磲,4/5,治疗加成提高15%。,装备此圣遗物套装的角色对队伍中的角色进行治疗时，将产生持续3秒的海染泡沫，记录治疗的生命值回复量（包括溢出值）。持续时间结束时，海染泡沫将会爆炸，对周围的敌人造成90%累计回复量的伤害（该伤害结算方式同感电、超导等元素反应，但不受元素精通、等级或反应伤害加成效果影响）。每3.5秒至多产生一个海染泡沫；海染泡沫至多记录30000点回复量，含溢出部分的治疗量；自己的队伍中同时至多存在一个海染泡沫。装备此圣遗物套装的角色处于队伍后台时，依然能触发该效果。,,,,,,,,,,,,,,,,,,,,,,,,,
obsidian_codex,黑曜秘典,4/5,装备者处于夜魂加持状态，并且在场上时，造成的伤害提高15%。,装备者在场上消耗1点夜魂值后，暴击率提高40%，持续6秒。该效果每1秒至多触发一次。,,,,,,,,,,,,,,,,,,,,,,,,,
vourukasha_s_glow,花海甘露之光,4/5,生命值提升20%。,元素战技与元素爆发造成的伤害提升10%；装备者受到伤害后的5秒内，上述伤害提升效果提高80%，该提高效果至多叠加5层，每层持续时间独立计算，处于队伍后台时依然能触发该效果。,,,,,,,,,,,,,,,,,,,,,,,,,
husk_of_opulent_dreams,华馆梦醒形骸记,4/5,防御力提高30%。,装备此圣遗物套装的角色在以下情况下，将获得「问答」效果：在场上用岩元素攻击命中敌人后获得一层，每0.3秒至多触发一次；在队伍后台中，每3秒获得一层。问答至多叠加4层，每层能提供6%防御力与6%岩元素伤害加成。每6秒，若未获得问答效果，将损失一层。,,,,,,,,,,,,,,,,,,,,,,,,,
golden_troupe,黄金剧团,4/5,元素战技造成的伤害提升20%。,元素战技造成的伤害提升25%；此外，处于队伍后台时，元素战技造成的伤害还将进一步提升25%，该效果将在登场后2秒移除。,,,,,,,,,,,,,,,,,,,,,,,,,
